player_name,player_id,year,xwoba,xba,xslg,xiso,xobp,brl,brl_percent,exit_velocity,hard_hit_percent,k_percent,bb_percent,whiff_percent,sprint_speed,oaa
Tyrone Taylor,621438,2022,39,29,60,68,17,51,68,33,34,24,14,38,80,92
Matt Thaiss,642136,2022,,,,,,,,,,,,,4,
Jerar Encarnacion,666464,2022,,,,,,,,,,,,,61,
Kyle Garlick,664247,2022,,,,,,,,,,,,,34,
Vidal Bruján,660644,2022,,,,,,,,,,,,,83,
Jackie Bradley Jr.,598265,2022,2,17,7,14,5,13,20,24,33,52,27,20,43,91
Justin Turner,457759,2022,75,82,69,59,83,60,52,61,54,78,66,77,8,25
Ty France,664034,2022,55,74,49,35,66,45,27,24,29,86,17,82,5,11
Seth Beer,666179,2022,,,,,,,,,,,,,6,
Elehuris Montero,660707,2022,,,,,,,,,,,,,39,
Zach McKinstry,656716,2022,,,,,,,,,,,,,77,
Keston Hiura,669374,2022,,,,,,,,,,,,,54,
Brandon Lowe,664040,2022,,,,,,,,,,,,,55,15
Luis Guillorme,641645,2022,,,,,,,,,,,,,18,91
Kolten Wong,543939,2022,37,28,20,22,61,29,27,14,25,72,65,78,21,3
Will Smith,669257,2022,88,66,88,88,80,82,72,67,67,79,67,82,53,
Amed Rosario,642708,2022,43,89,48,24,39,41,18,39,41,79,2,74,96,2
Robinson Canó,429664,2022,,,,,,,,,,,,,4,
Isaac Paredes,670623,2022,25,6,17,38,41,23,36,20,43,73,88,90,24,90
Elias Díaz,553869,2022,7,16,11,21,7,20,31,39,46,46,29,61,22,
Donovan Walton,622268,2022,,,,,,,,,,,,,56,
Alex Kirilloff,666135,2022,,,,,,,,,,,,,57,
Vaughn Grissom,687093,2022,58,71,42,29,76,57,37,35,47,65,59,49,64,88
Alejo Lopez,664670,2022,,,,,,,,,,,,,32,
Lorenzo Cain,456715,2022,,,,,,,,,,,,,75,
Nomar Mazara,608577,2022,,,,,,,,,,,,,27,
Oswaldo Cabrera,665828,2022,,,,,,,,,,,,,55,
Jeff McNeil,643446,2022,58,94,45,17,80,13,7,12,7,99,32,91,51,95
Kody Clemens,665019,2022,,,,,,,,,,,,,49,
David Bote,623520,2022,,,,,,,,,,,,,35,
Willi Castro,650489,2022,19,72,11,4,33,7,10,1,10,52,3,24,78,49
Franmil Reyes,614177,2022,8,3,25,55,2,63,80,92,79,3,24,2,20,
Salvador Perez,521692,2022,62,46,88,93,12,75,79,88,91,40,3,12,11,
Kyle Stowers,669065,2022,,,,,,,,,,,,,43,
Pavin Smith,656976,2022,,,,,,,,,,,,,31,
Michael Brantley,488726,2022,,,,,,,,,,,,,11,
Matt Vierling,663837,2022,64,93,55,32,68,13,24,86,85,58,25,80,97,47
Meibrys Viloria,650619,2022,,,,,,,,,,,,,12,
Christian Arroyo,624414,2022,,,,,,,,,,,,,62,10
Max Muncy,571970,2022,75,5,64,84,81,83,91,75,78,25,99,40,47,14
Garrett Stubbs,596117,2022,,,,,,,,,,,,,50,
Tim Locastro,641796,2022,,,,,,,,,,,,,99,
Edwin Ríos,621458,2022,,,,,,,,,,,,,12,
Derek Hill,656537,2022,,,,,,,,,,,,,97,
Jed Lowrie,476704,2022,,,,,,,,,,,,,8,
Tyler Nevin,663527,2022,,,,,,,,,,,,,14,
Mauricio Dubón,643289,2022,,,,,,,,,,,,,74,91
Christian Bethancourt,542194,2022,,,,,,,,,,,,,71,
Shohei Ohtani,660271,2022,98,92,99,98,93,99,98,97,93,30,81,26,75,
Fernando Tatis Jr.,none,2022,98,92,99,98,93,99,98,97,93,30,81,26,75,
Luke Raley,670042,2022,,,,,,,,,,,,,92,
Patrick Mazeika,664850,2022,,,,,,,,,,,,,2,
Marwin Gonzalez,503556,2022,,,,,,,,,,,,,27,
Chad Pinder,640461,2022,11,28,40,42,2,20,37,22,55,5,2,6,19,5
Martín Maldonado,455117,2022,1,1,6,41,1,29,53,39,51,6,18,10,1,
Alejandro Kirk,672386,2022,86,92,72,53,95,54,40,78,78,98,88,94,3,
DJ LeMahieu,518934,2022,80,87,53,32,96,34,27,53,57,93,92,92,28,96
Thairo Estrada,642731,2022,29,48,19,14,42,25,15,8,9,80,21,80,75,76
Tommy Pham,502054,2022,45,32,42,42,46,60,50,93,89,17,59,41,66,9
Corbin Carroll,682998,2022,,,,,,,,,,,,,100,
Aramis Garcia,605244,2022,,,,,,,,,,,,,21,
Wander Franco,677551,2022,67,96,55,28,78,13,19,18,26,99,43,98,61,69
Josh Harrison,543281,2022,14,25,9,12,24,10,12,20,11,78,11,67,44,84
Christopher Morel,666624,2022,61,25,73,79,37,67,91,63,52,4,58,1,88,4
Carlos Santana,467793,2022,88,59,74,75,93,63,60,81,76,74,97,71,16,82
Trey Mancini,641820,2022,64,46,58,62,64,75,66,61,52,40,59,31,14,
Tyler Freeman,671289,2022,,,,,,,,,,,,,70,
Sandy Leon,506702,2022,,,,,,,,,,,,,1,
Ryan McKenna,663630,2022,,,,,,,,,,,,,94,
Vimael Machín,605353,2022,,,,,,,,,,,,,13,11
Josh H. Smith,669701,2022,,,,,,,,,,,,,74,70
Gavin Lux,666158,2022,47,49,33,29,59,31,32,33,48,55,74,58,88,81
Gary Sanchez,596142,2022,55,12,76,89,26,76,92,78,92,10,53,14,9,
Matt Olson,621566,2022,82,51,86,89,71,98,93,97,96,29,80,22,28,82
Roberto Perez,547379,2022,,,,,,,,,,,,,6,
Michael Stefanic,683021,2022,,,,,,,,,,,,,28,
Tommy La Stella,600303,2022,,,,,,,,,,,,,7,
Aristides Aquino,606157,2022,,,,,,,,,,,,,87,
Bryan De La Cruz,650559,2022,90,96,94,86,61,57,84,82,86,23,14,22,62,24
Jake Meyers,676694,2022,,,,,,,,,,,,,89,
Nico Hoerner,663538,2022,31,84,29,10,49,9,6,16,15,98,14,97,92,98
Drew Waters,671221,2022,,,,,,,,,,,,,80,
Romy Gonzalez,663853,2022,,,,,,,,,,,,,81,
Francisco Mejía,642336,2022,,,,,,,,,,,,,40,
Luis Robert Jr.,673357,2022,64,85,80,71,37,51,59,55,65,61,6,34,65,84
Manny Machado,592518,2022,74,77,79,72,76,83,66,89,91,53,70,47,28,95
Alex Verdugo,657077,2022,66,92,70,51,61,60,31,51,39,92,27,92,37,13
Brad Miller,543543,2022,,,,,,,,,,,,,45,
Jazz Chisholm Jr.,665862,2022,93,91,96,94,69,98,94,88,82,24,37,18,94,82
Kyle Tucker,663656,2022,89,74,91,90,75,86,70,69,63,85,67,78,32,89
Ryan Mountcastle,663624,2022,93,91,96,94,69,98,94,88,82,24,37,18,53,80
Paul Goldschmidt,502671,2022,95,72,91,90,90,90,82,82,86,45,92,37,26,10
Gunnar Henderson,683002,2022,,,,,,,,,,,,,91,
Sam Huff,669087,2022,,,,,,,,,,,,,43,
Michael Perez,605421,2022,,,,,,,,,,,,,4,
Tyler Stephenson,663886,2022,,,,,,,,,,,,,31,
Jake Burger,669394,2022,,,,,,,,,,,,,60,
Lourdes Gurriel Jr.,666971,2022,55,86,51,31,64,16,12,80,79,78,24,71,48,26
Michael Papierski,657709,2022,,,,,,,,,,,,,6,
Terrin Vavra,679631,2022,,,,,,,,,,,,,45,
Luke Maile,571912,2022,,,,,,,,,,,,,13,
Nelson Velázquez,676369,2022,,,,,,,,,,,,,73,
Alfonso Rivas,663845,2022,,,,,,,,,,,,,26,23
Luis García,671277,2022,37,71,57,48,12,34,47,18,29,42,1,35,42,1
Brandon Crawford,543063,2022,16,9,11,26,28,34,40,35,23,47,53,12,11,93
Nolan Arenado,571448,2022,75,78,78,71,73,78,53,43,45,97,51,84,13,99
