Mookie Betts,_,9222,4355
Rafael Devers,_,6795,4735
Sonny Gray,_,160,5609
José Ramírez,_,4901,5058
Charlie Morton,_,1972,5371
Emmanuel Clase,_,12954,3777
Scott Barlow,_,6939,4658
Lucas Giolito,_,3823,5187
Adalberto Mondesi,_,6,5633
Pablo López,_,1957,5432
Paul Sewald,_,2647,5227
Travis d'Arnaud,_,2435,5354
Bobby Witt Jr.,_,4935,4849
Nathaniel Lowe,_,4500,5031
Ian Happ,_,1624,5478
Liam Hendriks,_,8543,4372
Michael King,_,7269,4637
Wil Myers,_,1533,5502
Michael Kopech,_,4548,5021
Luis Robert Jr.,_,4713,5025
Freddie Freeman,Acuña Matatas,11082,1771
Ronald Acuña Jr.,Acuña Matatas,10205,2173
J.T. Realmuto,Acuña Matatas,6840,3352
Lars Nootbaar,Acuña Matatas,10557,1931
Matt Chapman,Acuña Matatas,9091,2533
Alek Manoah,Acuña Matatas,9612,2370
Whit Merrifield,Acuña Matatas,582,5794
Zach Eflin,Acuña Matatas,3749,4615
Cristian Javier,Acuña Matatas,5613,3911
Adolis García,Acuña Matatas,5715,3937
Clarke Schmidt,Acuña Matatas,5455,3940
Joe Ryan,Acuña Matatas,592,5768
Riley Greene,Acuña Matatas,2683,5034
Tony Gonsolin,Acuña Matatas,3662,4647
Brusdar Graterol,Acuña Matatas,4576,4278
Kendall Graveman,Acuña Matatas,10541,1926
Yandy Díaz,Acuña Matatas,6727,3558
Ha-Seong Kim,Acuña Matatas,2793,5000
Eric Lauer,Acuña Matatas,319,5798
Mike Trout,Brave Little Toasters,11445,2792
Nolan Arenado,Brave Little Toasters,2965,5001
Kris Bryant,Brave Little Toasters,1475,5306
Corbin Burnes,Brave Little Toasters,8479,3586
Jack Flaherty,Brave Little Toasters,8914,3483
Chris Sale,Brave Little Toasters,4307,4731
Thairo Estrada,Brave Little Toasters,533,5585
DJ LeMahieu,Brave Little Toasters,4331,4608
Freddy Peralta,Brave Little Toasters,4464,4691
Logan Webb,Brave Little Toasters,691,5556
Esteury Ruiz,Brave Little Toasters,695,5455
